latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.25,94.75,1140.0,28800,Asia/Shanghai,GMT+8

time,temperature_2m (°C),relativehumidity_2m (%),rain (mm),snowfall (cm),windspeed_10m (m/s),shortwave_radiation (W/m²)
2020-01-01T00:00,-9.3,48,0.00,0.00,2.62,0.0
2020-01-01T01:00,-10.6,53,0.00,0.00,2.16,0.0
2020-01-01T02:00,-10.7,55,0.00,0.00,1.48,0.0
2020-01-01T03:00,-10.6,56,0.00,0.00,0.86,0.0
2020-01-01T04:00,-11.0,60,0.00,0.00,0.50,0.0
2020-01-01T05:00,-10.6,59,0.00,0.00,0.51,0.0
2020-01-01T06:00,-10.5,55,0.00,0.00,0.36,0.0
2020-01-01T07:00,-10.7,55,0.00,0.00,0.41,0.0
2020-01-01T08:00,-10.9,55,0.00,0.00,0.14,0.0
2020-01-01T09:00,-12.6,63,0.00,0.00,2.06,0.0
2020-01-01T10:00,-8.1,53,0.00,0.00,2.62,29.0
2020-01-01T11:00,-8.0,51,0.00,0.00,2.06,129.0
2020-01-01T12:00,-7.2,50,0.00,0.00,2.92,204.0
2020-01-01T13:00,-3.4,37,0.00,0.00,3.49,295.0
2020-01-01T14:00,-3.6,36,0.00,0.00,3.32,306.0
2020-01-01T15:00,-3.7,35,0.00,0.00,3.40,373.0
2020-01-01T16:00,-1.8,32,0.00,0.00,3.45,363.0
2020-01-01T17:00,-1.6,32,0.00,0.00,3.24,241.0
2020-01-01T18:00,-4.5,38,0.00,0.00,2.38,92.0
2020-01-01T19:00,-5.3,42,0.00,0.00,1.57,5.0
2020-01-01T20:00,-6.0,44,0.00,0.00,0.61,0.0
2020-01-01T21:00,-5.3,42,0.00,0.00,0.67,0.0
2020-01-01T22:00,-5.5,43,0.00,0.00,1.17,0.0
2020-01-01T23:00,-6.6,45,0.00,0.00,0.54,0.0
2020-01-02T00:00,-6.6,45,0.00,0.00,0.32,0.0
2020-01-02T01:00,-9.0,50,0.00,0.00,1.20,0.0
2020-01-02T02:00,-8.5,48,0.00,0.00,1.75,0.0
2020-01-02T03:00,-8.7,48,0.00,0.00,1.71,0.0
2020-01-02T04:00,-10.4,54,0.00,0.00,1.50,0.0
2020-01-02T05:00,-10.5,54,0.00,0.00,1.71,0.0
2020-01-02T06:00,-10.8,50,0.00,0.00,1.41,0.0
2020-01-02T07:00,-9.6,45,0.00,0.00,1.00,0.0
2020-01-02T08:00,-9.9,47,0.00,0.00,1.65,0.0
2020-01-02T09:00,-9.7,46,0.00,0.00,1.81,0.0
2020-01-02T10:00,-6.2,45,0.00,0.00,1.87,43.0
2020-01-02T11:00,-7.2,47,0.00,0.00,1.30,190.0
2020-01-02T12:00,-7.7,46,0.00,0.00,1.66,332.0
2020-01-02T13:00,-2.1,32,0.00,0.00,1.84,431.0
2020-01-02T14:00,-1.4,31,0.00,0.00,1.66,476.0
2020-01-02T15:00,-0.9,30,0.00,0.00,1.36,455.0
2020-01-02T16:00,0.7,28,0.00,0.00,1.17,380.0
2020-01-02T17:00,1.0,27,0.00,0.00,0.72,244.0
2020-01-02T18:00,-2.6,37,0.00,0.00,0.50,99.0
2020-01-02T19:00,-2.4,36,0.00,0.00,0.50,5.0
2020-01-02T20:00,-2.9,37,0.00,0.00,0.20,0.0
2020-01-02T21:00,-2.4,36,0.00,0.00,0.61,0.0
2020-01-02T22:00,-5.2,42,0.00,0.00,1.52,0.0
2020-01-02T23:00,-7.0,49,0.00,0.00,2.16,0.0
2020-01-03T00:00,-7.6,52,0.00,0.00,2.60,0.0
2020-01-03T01:00,-9.0,54,0.00,0.00,2.94,0.0
2020-01-03T02:00,-8.9,54,0.00,0.00,3.24,0.0
2020-01-03T03:00,-8.8,54,0.00,0.00,3.51,0.0
2020-01-03T04:00,-10.8,59,0.00,0.00,3.70,0.0
2020-01-03T05:00,-10.7,60,0.00,0.00,3.40,0.0
2020-01-03T06:00,-11.0,63,0.00,0.00,2.62,0.0
2020-01-03T07:00,-10.6,62,0.00,0.00,0.98,0.0
2020-01-03T08:00,-8.0,51,0.00,0.00,1.91,0.0
2020-01-03T09:00,-11.4,66,0.00,0.00,3.48,0.0
2020-01-03T10:00,-7.2,56,0.00,0.00,2.83,43.0
2020-01-03T11:00,-7.0,52,0.00,0.00,1.42,191.0
2020-01-03T12:00,-6.1,47,0.00,0.00,1.25,334.0
2020-01-03T13:00,-1.5,35,0.00,0.00,1.42,434.0
2020-01-03T14:00,-1.3,34,0.00,0.00,1.36,480.0
2020-01-03T15:00,-1.2,33,0.00,0.00,1.17,465.0
2020-01-03T16:00,0.6,30,0.00,0.00,1.30,391.0
2020-01-03T17:00,1.0,29,0.00,0.00,1.51,267.0
2020-01-03T18:00,-3.2,48,0.00,0.00,1.81,113.0
2020-01-03T19:00,-2.8,40,0.00,0.00,3.04,6.0
2020-01-03T20:00,-3.4,42,0.00,0.00,3.26,0.0
2020-01-03T21:00,-3.3,43,0.00,0.00,3.06,0.0
2020-01-03T22:00,-5.2,49,0.00,0.00,3.04,0.0
2020-01-03T23:00,-5.5,52,0.00,0.00,3.12,0.0
2020-01-04T00:00,-6.3,53,0.00,0.00,2.86,0.0
2020-01-04T01:00,-8.0,57,0.00,0.00,2.52,0.0
2020-01-04T02:00,-8.3,59,0.00,0.00,2.01,0.0
2020-01-04T03:00,-8.0,58,0.00,0.00,1.68,0.0
2020-01-04T04:00,-7.4,57,0.00,0.00,1.40,0.0
2020-01-04T05:00,-8.0,58,0.00,0.00,1.32,0.0
2020-01-04T06:00,-8.5,60,0.00,0.00,1.80,0.0
2020-01-04T07:00,-8.3,60,0.00,0.00,0.61,0.0
2020-01-04T08:00,-8.4,60,0.00,0.00,0.91,0.0
2020-01-04T09:00,-8.4,61,0.00,0.00,1.25,0.0
2020-01-04T10:00,-5.3,56,0.00,0.00,1.21,43.0
2020-01-04T11:00,-7.3,61,0.00,0.00,0.71,192.0
2020-01-04T12:00,-8.0,59,0.00,0.00,0.50,335.0
2020-01-04T13:00,-1.9,42,0.00,0.00,0.32,434.0
2020-01-04T14:00,-1.5,39,0.00,0.00,0.64,482.0
2020-01-04T15:00,-1.0,37,0.00,0.00,0.89,464.0
2020-01-04T16:00,0.5,35,0.00,0.00,1.55,389.0
2020-01-04T17:00,0.7,35,0.00,0.00,2.11,259.0
2020-01-04T18:00,-2.4,47,0.00,0.00,2.20,110.0
2020-01-04T19:00,-2.8,49,0.00,0.00,2.38,6.0
2020-01-04T20:00,-3.0,49,0.00,0.00,3.11,0.0
2020-01-04T21:00,-3.0,48,0.00,0.00,3.56,0.0
2020-01-04T22:00,-5.1,52,0.00,0.00,3.62,0.0
2020-01-04T23:00,-6.1,53,0.00,0.00,3.55,0.0
2020-01-05T00:00,-6.3,53,0.00,0.00,3.62,0.0
2020-01-05T01:00,-7.3,56,0.00,0.00,3.69,0.0
2020-01-05T02:00,-7.8,58,0.00,0.00,3.55,0.0
2020-01-05T03:00,-7.7,58,0.00,0.00,3.32,0.0
2020-01-05T04:00,-8.7,63,0.00,0.00,2.98,0.0
2020-01-05T05:00,-8.6,64,0.00,0.00,2.77,0.0
2020-01-05T06:00,-10.7,69,0.00,0.00,2.41,0.0
2020-01-05T07:00,-10.7,69,0.00,0.00,2.08,0.0
2020-01-05T08:00,-11.2,71,0.00,0.00,2.41,0.0
2020-01-05T09:00,-11.1,71,0.00,0.00,2.44,0.0
2020-01-05T10:00,-7.8,64,0.00,0.00,2.22,28.0
2020-01-05T11:00,-8.0,61,0.00,0.00,1.56,131.0
2020-01-05T12:00,-8.1,57,0.00,0.00,1.53,256.0
2020-01-05T13:00,-3.0,42,0.00,0.00,1.30,344.0
2020-01-05T14:00,-2.9,41,0.00,0.00,1.50,371.0
2020-01-05T15:00,-2.7,40,0.00,0.00,2.10,387.0
2020-01-05T16:00,-1.7,37,0.00,0.00,2.51,312.0
2020-01-05T17:00,-1.5,36,0.00,0.00,2.53,194.0
2020-01-05T18:00,-4.6,44,0.00,0.00,1.71,82.0
2020-01-05T19:00,-5.4,47,0.00,0.00,0.42,5.0
2020-01-05T20:00,-4.7,44,0.00,0.00,0.80,0.0
2020-01-05T21:00,-4.2,44,0.00,0.00,1.71,0.0
2020-01-05T22:00,-7.3,53,0.00,0.00,2.32,0.0
2020-01-05T23:00,-8.6,57,0.00,0.00,2.53,0.0
2020-01-06T00:00,-8.3,56,0.00,0.00,2.77,0.0
2020-01-06T01:00,-9.3,58,0.00,0.00,2.67,0.0
2020-01-06T02:00,-9.1,58,0.00,0.00,2.53,0.0
2020-01-06T03:00,-9.3,60,0.00,0.00,2.51,0.0
2020-01-06T04:00,-10.9,65,0.00,0.00,2.80,0.0
2020-01-06T05:00,-11.0,67,0.00,0.00,3.00,0.0
2020-01-06T06:00,-11.4,73,0.00,0.00,2.50,0.0
2020-01-06T07:00,-11.1,71,0.00,0.00,2.62,0.0
2020-01-06T08:00,-11.1,70,0.00,0.00,3.01,0.0
2020-01-06T09:00,-11.1,69,0.00,0.00,3.00,0.0
2020-01-06T10:00,-8.5,59,0.00,0.00,2.72,42.0
2020-01-06T11:00,-8.5,56,0.00,0.00,2.67,188.0
2020-01-06T12:00,-7.3,52,0.00,0.00,3.10,330.0
2020-01-06T13:00,-1.7,39,0.00,0.00,2.95,433.0
2020-01-06T14:00,-1.1,37,0.00,0.00,2.20,482.0
2020-01-06T15:00,-0.5,36,0.00,0.00,1.42,462.0
2020-01-06T16:00,1.3,31,0.00,0.00,1.06,390.0
2020-01-06T17:00,1.5,31,0.00,0.00,0.94,261.0
2020-01-06T18:00,-1.8,39,0.00,0.00,1.17,111.0
2020-01-06T19:00,-1.6,40,0.00,0.00,0.91,7.0
2020-01-06T20:00,-1.8,39,0.00,0.00,0.51,0.0
2020-01-06T21:00,-1.4,39,0.00,0.00,0.85,0.0
2020-01-06T22:00,-3.8,48,0.00,0.00,1.87,0.0
2020-01-06T23:00,-7.6,58,0.00,0.00,2.57,0.0
2020-01-07T00:00,-7.8,58,0.00,0.00,2.85,0.0
2020-01-07T01:00,-9.0,62,0.00,0.00,3.05,0.0
2020-01-07T02:00,-9.4,62,0.00,0.00,3.20,0.0
2020-01-07T03:00,-9.5,62,0.00,0.00,3.32,0.0
2020-01-07T04:00,-10.9,64,0.00,0.00,3.64,0.0
2020-01-07T05:00,-10.6,63,0.00,0.00,3.92,0.0
2020-01-07T06:00,-11.4,65,0.00,0.00,3.70,0.0
2020-01-07T07:00,-11.1,64,0.00,0.00,3.53,0.0
2020-01-07T08:00,-11.1,63,0.00,0.00,3.44,0.0
2020-01-07T09:00,-10.6,60,0.00,0.00,2.75,0.0
2020-01-07T10:00,-7.5,55,0.00,0.00,1.22,40.0
2020-01-07T11:00,-8.4,56,0.00,0.00,0.54,157.0
2020-01-07T12:00,-8.4,50,0.00,0.00,1.10,311.0
2020-01-07T13:00,-2.5,38,0.00,0.00,1.04,418.0
2020-01-07T14:00,-2.2,36,0.00,0.00,1.06,476.0
2020-01-07T15:00,-2.2,36,0.00,0.00,1.25,467.0
2020-01-07T16:00,-0.8,34,0.00,0.00,1.26,390.0
2020-01-07T17:00,-0.6,34,0.00,0.00,1.50,269.0
2020-01-07T18:00,-3.8,43,0.00,0.00,2.28,118.0
2020-01-07T19:00,-4.0,45,0.00,0.00,2.52,8.0
2020-01-07T20:00,-4.9,45,0.00,0.00,3.02,0.0
2020-01-07T21:00,-4.7,45,0.00,0.00,3.41,0.0
2020-01-07T22:00,-6.0,49,0.00,0.00,3.34,0.0
2020-01-07T23:00,-6.8,52,0.00,0.00,3.00,0.0
2020-01-08T00:00,-6.8,52,0.00,0.00,2.55,0.0
2020-01-08T01:00,-8.5,58,0.00,0.00,2.20,0.0
2020-01-08T02:00,-8.9,60,0.00,0.00,2.01,0.0
2020-01-08T03:00,-9.1,62,0.00,0.00,1.73,0.0
2020-01-08T04:00,-11.1,67,0.00,0.00,1.40,0.0
2020-01-08T05:00,-11.3,69,0.00,0.00,1.21,0.0
2020-01-08T06:00,-12.2,71,0.00,0.00,1.17,0.0
2020-01-08T07:00,-12.1,71,0.00,0.00,1.17,0.0
2020-01-08T08:00,-12.4,71,0.00,0.00,1.20,0.0
2020-01-08T09:00,-12.4,71,0.00,0.00,0.82,0.0
2020-01-08T10:00,-7.8,63,0.00,0.00,1.06,40.0
2020-01-08T11:00,-8.7,63,0.00,0.00,0.64,177.0
2020-01-08T12:00,-8.9,56,0.00,0.00,0.78,335.0
2020-01-08T13:00,-3.7,44,0.00,0.00,1.46,440.0
2020-01-08T14:00,-3.4,42,0.00,0.00,1.60,482.0
2020-01-08T15:00,-3.1,40,0.00,0.00,1.42,468.0
2020-01-08T16:00,-1.6,36,0.00,0.00,1.66,389.0
2020-01-08T17:00,-1.5,37,0.00,0.00,1.84,257.0
2020-01-08T18:00,-4.6,45,0.00,0.00,1.90,106.0
2020-01-08T19:00,-5.1,47,0.00,0.00,2.47,9.0
2020-01-08T20:00,-5.5,49,0.00,0.00,3.26,0.0
2020-01-08T21:00,-6.0,50,0.00,0.00,3.81,0.0
2020-01-08T22:00,-8.2,56,0.00,0.00,3.78,0.0
2020-01-08T23:00,-8.5,58,0.00,0.00,3.28,0.0
2020-01-09T00:00,-8.5,59,0.00,0.00,3.02,0.0
2020-01-09T01:00,-9.6,64,0.00,0.00,2.83,0.0
2020-01-09T02:00,-9.9,66,0.00,0.00,2.91,0.0
2020-01-09T03:00,-9.9,68,0.00,0.00,2.83,0.0
2020-01-09T04:00,-10.8,73,0.00,0.00,2.98,0.0
2020-01-09T05:00,-11.0,75,0.00,0.00,3.20,0.0
2020-01-09T06:00,-11.5,78,0.00,0.00,3.50,0.0
2020-01-09T07:00,-12.0,81,0.00,0.00,2.97,0.0
2020-01-09T08:00,-12.1,81,0.00,0.00,2.47,0.0
2020-01-09T09:00,-11.9,80,0.00,0.00,2.22,0.0
2020-01-09T10:00,-8.6,71,0.00,0.00,1.66,31.0
2020-01-09T11:00,-9.0,69,0.00,0.00,1.10,122.0
2020-01-09T12:00,-9.5,67,0.00,0.00,0.73,226.0
2020-01-09T13:00,-3.8,52,0.00,0.00,0.10,345.0
2020-01-09T14:00,-3.5,49,0.00,0.00,0.85,429.0
2020-01-09T15:00,-3.2,47,0.00,0.00,1.34,430.0
2020-01-09T16:00,-2.0,42,0.00,0.00,2.61,395.0
2020-01-09T17:00,-1.6,42,0.00,0.00,3.49,280.0
2020-01-09T18:00,-4.5,50,0.00,0.00,3.61,123.0
2020-01-09T19:00,-4.3,50,0.00,0.00,2.53,9.0
2020-01-09T20:00,-4.3,49,0.00,0.00,2.82,0.0
2020-01-09T21:00,-4.2,48,0.00,0.00,3.26,0.0
2020-01-09T22:00,-4.7,50,0.00,0.00,3.36,0.0
2020-01-09T23:00,-4.4,51,0.00,0.00,3.14,0.0
2020-01-10T00:00,-4.5,52,0.00,0.00,2.87,0.0
2020-01-10T01:00,-5.8,57,0.00,0.00,2.42,0.0
2020-01-10T02:00,-6.3,60,0.00,0.00,1.46,0.0
2020-01-10T03:00,-5.9,58,0.00,0.00,0.32,0.0
2020-01-10T04:00,-6.9,64,0.00,0.00,0.60,0.0
2020-01-10T05:00,-7.1,63,0.00,0.00,1.36,0.0
2020-01-10T06:00,-7.5,66,0.00,0.00,1.43,0.0
2020-01-10T07:00,-7.4,66,0.00,0.00,1.40,0.0
2020-01-10T08:00,-7.8,69,0.00,0.00,1.40,0.0
2020-01-10T09:00,-8.0,70,0.00,0.00,1.49,0.0
2020-01-10T10:00,-5.7,64,0.00,0.00,1.48,42.0
2020-01-10T11:00,-5.5,58,0.00,0.00,0.90,194.0
2020-01-10T12:00,-5.1,55,0.00,0.00,1.25,340.0
2020-01-10T13:00,-0.4,41,0.00,0.00,1.43,444.0
2020-01-10T14:00,-0.0,40,0.00,0.00,1.36,494.0
2020-01-10T15:00,0.2,39,0.00,0.00,1.44,482.0
2020-01-10T16:00,1.5,35,0.00,0.00,1.70,409.0
2020-01-10T17:00,1.7,34,0.00,0.00,1.66,282.0
2020-01-10T18:00,-2.1,49,0.00,0.00,1.39,130.0
2020-01-10T19:00,-2.7,51,0.00,0.00,1.75,10.0
2020-01-10T20:00,-3.2,55,0.00,0.00,1.33,0.0
2020-01-10T21:00,-2.7,58,0.00,0.00,0.22,0.0
2020-01-10T22:00,-3.0,53,0.00,0.00,0.86,0.0
2020-01-10T23:00,-3.4,53,0.00,0.00,1.42,0.0
2020-01-11T00:00,-3.5,53,0.00,0.00,1.24,0.0
2020-01-11T01:00,-6.1,63,0.00,0.00,1.17,0.0
2020-01-11T02:00,-6.2,65,0.00,0.00,0.81,0.0
2020-01-11T03:00,-6.5,67,0.00,0.00,1.00,0.0
2020-01-11T04:00,-7.5,67,0.00,0.00,1.58,0.0
2020-01-11T05:00,-7.0,65,0.00,0.00,2.13,0.0
2020-01-11T06:00,-8.9,72,0.00,0.00,2.06,0.0
2020-01-11T07:00,-8.5,70,0.00,0.00,1.34,0.0
2020-01-11T08:00,-7.9,68,0.00,0.00,0.50,0.0
2020-01-11T09:00,-7.8,68,0.00,0.00,0.14,0.0
2020-01-11T10:00,-5.4,65,0.00,0.00,1.68,29.0
2020-01-11T11:00,-6.1,64,0.00,0.00,1.61,105.0
2020-01-11T12:00,-6.3,59,0.00,0.00,1.30,207.0
2020-01-11T13:00,-0.8,43,0.00,0.00,1.52,297.0
2020-01-11T14:00,-0.7,42,0.00,0.00,2.35,361.0
2020-01-11T15:00,-0.5,40,0.00,0.00,3.31,420.0
2020-01-11T16:00,-0.0,39,0.00,0.00,3.81,307.0
2020-01-11T17:00,-0.3,40,0.00,0.00,4.14,189.0
2020-01-11T18:00,-2.5,48,0.00,0.00,4.09,97.0
2020-01-11T19:00,-2.3,48,0.00,0.00,4.56,8.0
2020-01-11T20:00,-2.8,49,0.00,0.00,4.55,0.0
2020-01-11T21:00,-2.8,49,0.00,0.00,4.68,0.0
2020-01-11T22:00,-4.4,53,0.00,0.00,4.62,0.0
2020-01-11T23:00,-5.1,56,0.00,0.00,4.31,0.0
2020-01-12T00:00,-5.1,57,0.00,0.00,3.89,0.0
2020-01-12T01:00,-6.1,61,0.00,0.00,3.44,0.0
2020-01-12T02:00,-6.4,64,0.00,0.00,3.09,0.0
2020-01-12T03:00,-6.8,67,0.00,0.00,2.68,0.0
2020-01-12T04:00,-9.7,77,0.00,0.00,2.25,0.0
2020-01-12T05:00,-9.8,78,0.00,0.00,1.53,0.0
2020-01-12T06:00,-10.8,77,0.00,0.00,0.22,0.0
2020-01-12T07:00,-11.8,81,0.00,0.00,1.80,0.0
2020-01-12T08:00,-12.1,81,0.00,0.00,2.60,0.0
2020-01-12T09:00,-11.7,79,0.00,0.00,3.08,0.0
2020-01-12T10:00,-7.6,70,0.00,0.00,3.24,45.0
2020-01-12T11:00,-7.7,65,0.00,0.00,3.59,194.0
2020-01-12T12:00,-6.1,57,0.00,0.00,4.62,341.0
2020-01-12T13:00,-1.2,42,0.00,0.00,5.50,449.0
2020-01-12T14:00,-0.4,39,0.00,0.00,6.00,499.0
2020-01-12T15:00,0.0,38,0.00,0.00,5.89,489.0
2020-01-12T16:00,2.0,32,0.00,0.00,5.88,412.0
2020-01-12T17:00,2.0,33,0.00,0.00,5.88,286.0
2020-01-12T18:00,-1.6,42,0.00,0.00,4.87,136.0
2020-01-12T19:00,-1.8,42,0.00,0.00,5.11,13.0
2020-01-12T20:00,-2.4,42,0.00,0.00,5.37,0.0
2020-01-12T21:00,-2.5,41,0.00,0.00,5.83,0.0
2020-01-12T22:00,-4.5,42,0.00,0.00,6.24,0.0
2020-01-12T23:00,-5.1,42,0.00,0.00,6.59,0.0
2020-01-13T00:00,-5.2,41,0.00,0.00,6.58,0.0
2020-01-13T01:00,-6.9,45,0.00,0.00,6.49,0.0
2020-01-13T02:00,-6.8,44,0.00,0.00,6.13,0.0
2020-01-13T03:00,-6.9,44,0.00,0.00,6.09,0.0
2020-01-13T04:00,-8.1,48,0.00,0.00,6.22,0.0
2020-01-13T05:00,-8.4,49,0.00,0.00,6.08,0.0
2020-01-13T06:00,-9.2,51,0.00,0.00,5.77,0.0
2020-01-13T07:00,-8.9,51,0.00,0.00,5.37,0.0
2020-01-13T08:00,-8.6,51,0.00,0.00,4.96,0.0
2020-01-13T09:00,-8.6,52,0.00,0.00,4.61,0.0
2020-01-13T10:00,-6.6,47,0.00,0.00,4.21,34.0
2020-01-13T11:00,-7.4,49,0.00,0.00,4.83,119.0
2020-01-13T12:00,-6.6,49,0.00,0.00,5.42,224.0
2020-01-13T13:00,-2.4,34,0.00,0.00,5.57,358.0
2020-01-13T14:00,-2.0,33,0.00,0.00,5.87,363.0
2020-01-13T15:00,-1.5,32,0.00,0.00,6.69,448.0
2020-01-13T16:00,0.9,27,0.00,0.00,7.24,365.0
2020-01-13T17:00,1.0,28,0.00,0.00,7.18,248.0
2020-01-13T18:00,-2.4,35,0.00,0.00,6.44,114.0
2020-01-13T19:00,-2.6,35,0.00,0.00,6.44,13.0
2020-01-13T20:00,-3.4,36,0.00,0.00,6.71,0.0
2020-01-13T21:00,-3.5,35,0.00,0.00,6.04,0.0
2020-01-13T22:00,-4.4,36,0.00,0.00,6.86,0.0
2020-01-13T23:00,-5.0,38,0.00,0.00,6.72,0.0
2020-01-14T00:00,-4.9,38,0.00,0.00,6.31,0.0
2020-01-14T01:00,-6.0,42,0.00,0.00,6.71,0.0
2020-01-14T02:00,-6.1,42,0.00,0.00,6.94,0.0
2020-01-14T03:00,-6.1,43,0.00,0.00,6.80,0.0
2020-01-14T04:00,-7.4,45,0.00,0.00,6.44,0.0
2020-01-14T05:00,-7.3,45,0.00,0.00,6.48,0.0
2020-01-14T06:00,-7.8,49,0.00,0.00,6.44,0.0
2020-01-14T07:00,-8.0,51,0.00,0.00,6.27,0.0
2020-01-14T08:00,-7.9,50,0.00,0.00,6.49,0.0
2020-01-14T09:00,-8.0,50,0.00,0.00,5.87,0.0
2020-01-14T10:00,-5.5,45,0.00,0.00,5.19,38.0
2020-01-14T11:00,-5.2,45,0.00,0.00,3.77,181.0
2020-01-14T12:00,-6.3,47,0.00,0.00,1.70,330.0
2020-01-14T13:00,-3.3,39,0.00,0.00,1.49,426.0
2020-01-14T14:00,-4.0,40,0.00,0.00,3.62,451.0
2020-01-14T15:00,-4.0,40,0.00,0.00,4.90,431.0
2020-01-14T16:00,-2.7,37,0.00,0.00,5.03,311.0
2020-01-14T17:00,-2.4,37,0.00,0.00,5.02,195.0
2020-01-14T18:00,-4.3,43,0.00,0.00,5.16,83.0
2020-01-14T19:00,-3.9,42,0.00,0.00,4.96,10.0
2020-01-14T20:00,-3.6,41,0.00,0.00,4.74,0.0
2020-01-14T21:00,-3.9,41,0.00,0.00,3.66,0.0
2020-01-14T22:00,-4.7,43,0.00,0.00,2.59,0.0
2020-01-14T23:00,-4.9,46,0.00,0.00,2.02,0.0
2020-01-15T00:00,-4.9,45,0.00,0.00,1.75,0.0
2020-01-15T01:00,-5.4,49,0.00,0.00,1.63,0.0
2020-01-15T02:00,-6.1,50,0.00,0.00,1.61,0.0
2020-01-15T03:00,-6.8,53,0.00,0.00,1.50,0.0
2020-01-15T04:00,-7.1,56,0.00,0.00,1.12,0.0
2020-01-15T05:00,-6.7,55,0.00,0.00,0.54,0.0
2020-01-15T06:00,-6.7,58,0.00,0.00,0.81,0.0
2020-01-15T07:00,-7.7,62,0.00,0.00,0.14,0.0
2020-01-15T08:00,-7.9,63,0.00,0.00,0.45,0.0
2020-01-15T09:00,-7.6,63,0.00,0.00,0.45,0.0
2020-01-15T10:00,-6.4,62,0.00,0.00,0.22,41.0
2020-01-15T11:00,-6.0,60,0.00,0.00,0.60,194.0
2020-01-15T12:00,-5.5,52,0.00,0.00,0.42,336.0
2020-01-15T13:00,-2.0,44,0.00,0.00,1.04,439.0
2020-01-15T14:00,-1.5,41,0.00,0.00,3.14,492.0
2020-01-15T15:00,-1.3,41,0.00,0.00,4.83,467.0
2020-01-15T16:00,-0.7,42,0.00,0.00,5.50,414.0
2020-01-15T17:00,-0.8,43,0.00,0.00,5.47,278.0
2020-01-15T18:00,-3.9,50,0.00,0.00,5.09,134.0
2020-01-15T19:00,-4.0,52,0.00,0.00,3.86,16.0
2020-01-15T20:00,-4.3,56,0.00,0.00,3.55,0.0
2020-01-15T21:00,-4.3,57,0.00,0.00,3.48,0.0
2020-01-15T22:00,-5.9,60,0.00,0.00,3.33,0.0
2020-01-15T23:00,-6.8,63,0.00,0.00,3.25,0.0
2020-01-16T00:00,-6.9,65,0.00,0.00,2.69,0.0
2020-01-16T01:00,-9.2,70,0.00,0.00,2.06,0.0
2020-01-16T02:00,-9.3,74,0.00,0.00,1.22,0.0
2020-01-16T03:00,-7.9,67,0.00,0.00,0.71,0.0
2020-01-16T04:00,-9.1,68,0.00,0.00,1.08,0.0
2020-01-16T05:00,-10.3,74,0.00,0.00,2.10,0.0
2020-01-16T06:00,-10.6,76,0.00,0.00,2.12,0.0
2020-01-16T07:00,-10.7,76,0.00,0.00,2.34,0.0
2020-01-16T08:00,-11.2,76,0.00,0.00,2.69,0.0
2020-01-16T09:00,-11.4,77,0.00,0.00,2.61,0.0
2020-01-16T10:00,-8.0,70,0.00,0.00,1.90,48.0
2020-01-16T11:00,-8.6,68,0.00,0.00,1.58,193.0
2020-01-16T12:00,-8.4,66,0.00,0.00,2.02,326.0
2020-01-16T13:00,-2.4,48,0.00,0.00,2.08,401.0
2020-01-16T14:00,-1.6,44,0.00,0.00,1.66,483.0
2020-01-16T15:00,-1.0,41,0.00,0.00,1.17,480.0
2020-01-16T16:00,0.4,38,0.00,0.00,0.58,416.0
2020-01-16T17:00,0.5,38,0.00,0.00,0.20,308.0
2020-01-16T18:00,-3.6,61,0.00,0.00,0.00,152.0
2020-01-16T19:00,-3.0,48,0.00,0.00,0.71,18.0
2020-01-16T20:00,-4.3,50,0.00,0.00,0.86,0.0
2020-01-16T21:00,-4.6,50,0.00,0.00,0.95,0.0
2020-01-16T22:00,-6.4,54,0.00,0.00,2.06,0.0
2020-01-16T23:00,-6.7,57,0.00,0.00,2.25,0.0
2020-01-17T00:00,-7.5,58,0.00,0.00,1.99,0.0
2020-01-17T01:00,-9.0,63,0.00,0.00,1.81,0.0
2020-01-17T02:00,-8.4,61,0.00,0.00,1.70,0.0
2020-01-17T03:00,-7.8,59,0.00,0.00,1.32,0.0
2020-01-17T04:00,-8.4,60,0.00,0.00,1.21,0.0
2020-01-17T05:00,-8.6,61,0.00,0.00,1.35,0.0
2020-01-17T06:00,-9.9,67,0.00,0.00,1.48,0.0
2020-01-17T07:00,-11.1,72,0.00,0.00,1.03,0.0
2020-01-17T08:00,-10.2,70,0.00,0.00,1.02,0.0
2020-01-17T09:00,-9.7,69,0.00,0.00,0.71,0.0
2020-01-17T10:00,-7.2,66,0.00,0.00,1.08,49.0
2020-01-17T11:00,-7.8,67,0.00,0.00,0.89,201.0
2020-01-17T12:00,-5.9,63,0.00,0.00,0.86,345.0
2020-01-17T13:00,-2.6,50,0.00,0.00,1.14,450.0
2020-01-17T14:00,-2.0,47,0.00,0.00,1.78,502.0
2020-01-17T15:00,-1.4,46,0.00,0.00,2.68,493.0
2020-01-17T16:00,-0.3,44,0.00,0.00,4.00,426.0
2020-01-17T17:00,0.0,44,0.00,0.00,5.20,297.0
2020-01-17T18:00,-2.8,53,0.00,0.00,5.63,142.0
2020-01-17T19:00,-2.5,53,0.00,0.00,5.87,16.0
2020-01-17T20:00,-2.1,54,0.00,0.00,6.40,0.0
2020-01-17T21:00,-2.4,56,0.00,0.07,6.26,0.0
2020-01-17T22:00,-3.5,64,0.00,0.07,5.92,0.0
2020-01-17T23:00,-3.8,69,0.00,0.07,5.60,0.0
