步骤编号,工作状态（ON/OFF）,运行时间（min）,起始温度（℃）,终点温度（℃）,湿度控制标志（ON/OFF）,起始湿度（%）,终点湿度（%）,日照控制标志（ON/OFF）,日照控制方式（开环/闭环）,日照起始角度（°）,日照终点角度（°）,起始日照强度（W/m2）,终点日照强度（W/m2）,降雨控制标志（ON/OFF）,起始降雨量（mm/h）,终点降雨量（mm/h）,风速控制标志（ON/OFF）,起始风速（m/s）,终点风速（m/s）,降雪控制标志（ON/OFF）,起始降雪量（mm/h）,终点降雪量（mm/h）
40,ON,22.5,26.1,26.1,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
41,ON,22.5,26.1,26.1,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
42,ON,22.5,26.1,26.1,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
43,ON,22.5,26.1,26.1,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
44,ON,1.0,26.1,26.2,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
45,ON,720.0,26.2,26.2,OFF,50.0,50.0,ON,开环,0.5,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
46,ON,3.5,26.2,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
47,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
48,ON,4.6,15.8,29.6,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
49,ON,3.2,29.6,29.6,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,40,40,ON,3.33,3.33,OFF,0.0,0.0
50,ON,1.0,29.6,27.6,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
51,ON,720.0,27.6,27.6,OFF,50.0,50.0,ON,开环,35.3,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
52,ON,3.9,27.6,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
53,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
54,ON,4.4,15.8,28.9,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
55,ON,20.0,28.9,28.9,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
56,ON,20.0,28.9,28.9,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
57,ON,20.0,28.9,28.9,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
58,ON,1.0,28.9,31.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
59,ON,720.0,31.8,31.8,OFF,50.0,50.0,ON,开环,26.9,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
60,ON,5.3,31.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
61,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
62,ON,4.8,15.8,30.2,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
63,ON,22.1,30.2,30.2,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
64,ON,1.0,30.2,27.7,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
65,ON,720.0,27.7,27.7,OFF,50.0,50.0,ON,开环,0.4,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
66,ON,4.0,27.7,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
67,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
68,ON,4.2,15.8,28.4,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
69,ON,15.8,28.4,28.4,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
70,ON,15.8,28.4,28.4,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
71,ON,15.8,28.4,28.4,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
72,ON,1.0,28.4,28.9,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
73,ON,720.0,28.9,28.9,OFF,50.0,50.0,ON,开环,43.4,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
74,ON,4.4,28.9,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
75,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
76,ON,4.2,15.8,28.5,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
77,ON,22.7,28.5,28.5,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
78,ON,1.0,28.5,28.6,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
79,ON,720.0,28.6,28.6,OFF,50.0,50.0,ON,开环,41.0,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
80,ON,4.3,28.6,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
81,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
82,ON,3.1,15.8,25.2,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
83,ON,20.2,25.2,25.2,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
84,ON,20.2,25.2,25.2,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
85,ON,20.2,25.2,25.2,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
86,ON,1.0,25.2,24.9,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
87,ON,720.0,24.9,24.9,OFF,50.0,50.0,ON,开环,3.6,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
88,ON,3.0,24.9,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
89,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
90,ON,3.9,15.8,27.6,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
91,ON,10.9,27.6,27.6,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
92,ON,1.7,27.6,22.5,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
93,ON,720.0,22.5,22.5,OFF,50.0,50.0,ON,开环,20.0,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
94,ON,2.2,22.5,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
95,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
96,ON,3.2,15.8,25.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
97,ON,26.3,25.3,25.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,40,40,ON,3.33,3.33,OFF,0.0,0.0
98,ON,26.3,25.3,25.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
99,ON,26.3,25.3,25.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,40,40,ON,3.33,3.33,OFF,0.0,0.0
100,ON,26.3,25.3,25.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
101,ON,26.3,25.3,25.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,40,40,ON,3.33,3.33,OFF,0.0,0.0
102,ON,26.3,25.3,25.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
103,ON,26.3,25.3,25.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,40,40,ON,3.33,3.33,OFF,0.0,0.0
104,ON,26.3,25.3,25.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
105,ON,26.3,25.3,25.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,40,40,ON,3.33,3.33,OFF,0.0,0.0
106,ON,26.3,25.3,25.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
107,ON,26.3,25.3,25.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,40,40,ON,3.33,3.33,OFF,0.0,0.0
108,ON,26.3,25.3,25.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
109,ON,26.3,25.3,25.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,40,40,ON,3.33,3.33,OFF,0.0,0.0
110,ON,26.3,25.3,25.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
111,ON,26.3,25.3,25.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,40,40,ON,3.33,3.33,OFF,0.0,0.0
112,ON,1.0,25.3,24.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
113,ON,720.0,24.8,24.8,OFF,50.0,50.0,ON,开环,43.3,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
114,ON,3.0,24.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
115,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
116,ON,3.2,15.8,25.5,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
117,ON,18.3,25.5,25.5,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
118,ON,1.0,25.5,23.0,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
119,ON,720.0,23.0,23.0,OFF,50.0,50.0,ON,开环,18.2,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
120,ON,2.4,23.0,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
121,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
122,ON,2.2,15.8,22.5,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
123,ON,23.0,22.5,22.5,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
124,ON,1.0,22.5,21.6,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
125,ON,720.0,21.6,21.6,OFF,50.0,50.0,ON,开环,12.6,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
126,ON,1.9,21.6,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
127,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
128,ON,1.0,15.8,13.7,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
129,ON,15.7,13.7,13.7,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
130,ON,15.7,13.7,13.7,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,ON,3.33,3.33,OFF,0.0,0.0
131,ON,15.7,13.7,13.7,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
132,ON,1.0,13.7,13.2,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
133,ON,720.0,13.2,13.2,OFF,50.0,50.0,ON,开环,10.3,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
134,ON,1.0,13.2,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
135,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
136,ON,1.0,15.8,15.6,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
137,ON,20.6,15.6,15.6,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
138,ON,1.0,15.6,15.7,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
139,ON,720.0,15.7,15.7,OFF,50.0,50.0,ON,开环,21.2,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
140,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
141,ON,1.8,15.8,10.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
142,ON,19.0,10.3,10.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,ON,60,60,ON,3.33,3.33,OFF,0.0,0.0
143,ON,1.0,10.3,12.3,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
144,ON,720.0,12.3,12.3,OFF,50.0,50.0,ON,开环,25.4,90.0,1000,1000,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
145,ON,1.2,12.3,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
146,ON,720.0,15.8,15.8,OFF,50.0,50.0,OFF,开环,0.0,0.0,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0,OFF,0.0,0.0
